#chan	aget	asad	cobo	row	col	detector	psa pad
0	0	0	0	30	3	0	line
1	0	0	0	31	11	0	line
2	0	0	0	28	14	0	line
3	0	0	0	29	4	0	line
4	0	0	0	29	11	0	line
5	0	0	0	31	15	0	line
6	0	0	0	29	13	0	line
7	0	0	0	28	1	0	line
8	0	0	0	28	12	0	line
9	0	0	0	31	7	0	line
10	0	0	0	30	12	0	line
11	0	0	0	-1	-1	0	none
12	0	0	0	29	0	0	line
13	0	0	0	30	14	0	line
14	0	0	0	31	3	0	line
15	0	0	0	28	15	0	line
16	0	0	0	28	10	0	line
17	0	0	0	31	13	0	line
18	0	0	0	29	15	0	line
19	0	0	0	30	5	0	line
20	0	0	0	29	9	0	line
21	0	0	0	30	0	0	line
22	0	0	0	-1	-1	0	none
23	0	0	0	31	9	0	line
24	0	0	0	29	14	0	line
25	0	0	0	30	8	0	line
26	0	0	0	29	1	0	line
27	0	0	0	31	5	0	line
28	0	0	0	30	13	0	line
29	0	0	0	28	6	0	line
30	0	0	0	28	2	0	line
31	0	0	0	30	4	0	line
32	0	0	0	29	5	0	line
33	0	0	0	28	11	0	line
34	0	0	0	31	1	0	line
35	0	0	0	28	0	0	line
36	0	0	0	28	13	0	line
37	0	0	0	29	10	0	line
38	0	0	0	31	12	0	line
39	0	0	0	31	8	0	line
40	0	0	0	30	15	0	line
41	0	0	0	30	9	0	line
42	0	0	0	30	2	0	line
43	0	0	0	31	4	0	line
44	0	0	0	29	12	0	line
45	0	0	0	-1	-1	0	none
46	0	0	0	28	7	0	line
47	0	0	0	29	3	0	line
48	0	0	0	31	0	0	line
49	0	0	0	30	11	0	line
50	0	0	0	29	6	0	line
51	0	0	0	31	14	0	line
52	0	0	0	28	4	0	line
53	0	0	0	28	9	0	line
54	0	0	0	29	8	0	line
55	0	0	0	30	6	0	line
56	0	0	0	-1	-1	0	none
57	0	0	0	31	10	0	line
58	0	0	0	28	3	0	line
59	0	0	0	30	7	0	line
60	0	0	0	29	7	0	line
61	0	0	0	31	6	0	line
62	0	0	0	30	1	0	line
63	0	0	0	28	5	0	line
64	0	0	0	30	10	0	line
65	0	0	0	31	2	0	line
66	0	0	0	28	8	0	line
67	0	0	0	29	2	0	line
0	1	0	0	30	19	0	line
1	1	0	0	31	27	0	line
2	1	0	0	28	30	0	line
3	1	0	0	29	20	0	line
4	1	0	0	29	27	0	line
5	1	0	0	31	31	0	line
6	1	0	0	29	29	0	line
7	1	0	0	28	17	0	line
8	1	0	0	28	28	0	line
9	1	0	0	31	23	0	line
10	1	0	0	30	28	0	line
11	1	0	0	-1	-1	0	none
12	1	0	0	29	16	0	line
13	1	0	0	30	30	0	line
14	1	0	0	31	19	0	line
15	1	0	0	28	31	0	line
16	1	0	0	28	26	0	line
17	1	0	0	31	29	0	line
18	1	0	0	29	31	0	line
19	1	0	0	30	21	0	line
20	1	0	0	29	25	0	line
21	1	0	0	30	16	0	line
22	1	0	0	-1	-1	0	none
23	1	0	0	31	25	0	line
24	1	0	0	29	30	0	line
25	1	0	0	30	24	0	line
26	1	0	0	29	17	0	line
27	1	0	0	31	21	0	line
28	1	0	0	30	29	0	line
29	1	0	0	28	22	0	line
30	1	0	0	28	18	0	line
31	1	0	0	30	20	0	line
32	1	0	0	29	21	0	line
33	1	0	0	28	27	0	line
34	1	0	0	31	17	0	line
35	1	0	0	28	16	0	line
36	1	0	0	28	29	0	line
37	1	0	0	29	26	0	line
38	1	0	0	31	28	0	line
39	1	0	0	31	24	0	line
40	1	0	0	30	31	0	line
41	1	0	0	30	25	0	line
42	1	0	0	30	18	0	line
43	1	0	0	31	20	0	line
44	1	0	0	29	28	0	line
45	1	0	0	-1	-1	0	none
46	1	0	0	28	23	0	line
47	1	0	0	29	19	0	line
48	1	0	0	31	16	0	line
49	1	0	0	30	27	0	line
50	1	0	0	29	22	0	line
51	1	0	0	31	30	0	line
52	1	0	0	28	20	0	line
53	1	0	0	28	25	0	line
54	1	0	0	29	24	0	line
55	1	0	0	30	22	0	line
56	1	0	0	-1	-1	0	none
57	1	0	0	31	26	0	line
58	1	0	0	28	19	0	line
59	1	0	0	30	23	0	line
60	1	0	0	29	23	0	line
61	1	0	0	31	22	0	line
62	1	0	0	30	17	0	line
63	1	0	0	28	21	0	line
64	1	0	0	30	26	0	line
65	1	0	0	31	18	0	line
66	1	0	0	28	24	0	line
67	1	0	0	29	18	0	line
0	2	0	0	30	35	0	line
1	2	0	0	31	43	0	line
2	2	0	0	28	46	0	line
3	2	0	0	29	36	0	line
4	2	0	0	29	43	0	line
5	2	0	0	31	47	0	line
6	2	0	0	29	45	0	line
7	2	0	0	28	33	0	line
8	2	0	0	28	44	0	line
9	2	0	0	31	39	0	line
10	2	0	0	30	44	0	line
11	2	0	0	-1	-1	0	none
12	2	0	0	29	32	0	line
13	2	0	0	30	46	0	line
14	2	0	0	31	35	0	line
15	2	0	0	28	47	0	line
16	2	0	0	28	42	0	line
17	2	0	0	31	45	0	line
18	2	0	0	29	47	0	line
19	2	0	0	30	37	0	line
20	2	0	0	29	41	0	line
21	2	0	0	30	32	0	line
22	2	0	0	-1	-1	0	none
23	2	0	0	31	41	0	line
24	2	0	0	29	46	0	line
25	2	0	0	30	40	0	line
26	2	0	0	29	33	0	line
27	2	0	0	31	37	0	line
28	2	0	0	30	45	0	line
29	2	0	0	28	38	0	line
30	2	0	0	28	34	0	line
31	2	0	0	30	36	0	line
32	2	0	0	29	37	0	line
33	2	0	0	28	43	0	line
34	2	0	0	31	33	0	line
35	2	0	0	28	32	0	line
36	2	0	0	28	45	0	line
37	2	0	0	29	42	0	line
38	2	0	0	31	44	0	line
39	2	0	0	31	40	0	line
40	2	0	0	30	47	0	line
41	2	0	0	30	41	0	line
42	2	0	0	30	34	0	line
43	2	0	0	31	36	0	line
44	2	0	0	29	44	0	line
45	2	0	0	-1	-1	0	none
46	2	0	0	28	39	0	line
47	2	0	0	29	35	0	line
48	2	0	0	31	32	0	line
49	2	0	0	30	43	0	line
50	2	0	0	29	38	0	line
51	2	0	0	31	46	0	line
52	2	0	0	28	36	0	line
53	2	0	0	28	41	0	line
54	2	0	0	29	40	0	line
55	2	0	0	30	38	0	line
56	2	0	0	-1	-1	0	none
57	2	0	0	31	42	0	line
58	2	0	0	28	35	0	line
59	2	0	0	30	39	0	line
60	2	0	0	29	39	0	line
61	2	0	0	31	38	0	line
62	2	0	0	30	33	0	line
63	2	0	0	28	37	0	line
64	2	0	0	30	42	0	line
65	2	0	0	31	34	0	line
66	2	0	0	28	40	0	line
67	2	0	0	29	34	0	line
0	3	0	0	30	51	0	line
1	3	0	0	31	59	0	line
2	3	0	0	28	62	0	line
3	3	0	0	29	52	0	line
4	3	0	0	29	59	0	line
5	3	0	0	31	63	0	line
6	3	0	0	29	61	0	line
7	3	0	0	28	49	0	line
8	3	0	0	28	60	0	line
9	3	0	0	31	55	0	line
10	3	0	0	30	60	0	line
11	3	0	0	-1	-1	0	none
12	3	0	0	29	48	0	line
13	3	0	0	30	62	0	line
14	3	0	0	31	51	0	line
