#col	row	gain	offset
0	0	3057.73	0
0	1	3022.27	0
0	2	3130.4	0
0	3	2970.47	0
0	4	3041.19	0
0	5	3525.55	0
0	6	-1	-1
0	7	3121.58	0
0	8	3113.3	0
0	9	3018.38	0
0	10	2945.39	0
0	11	3520.5	0
0	12	-1	-1
0	13	3197.33	0
0	14	3054.29	0
0	15	3124.12	0
0	16	3106.85	0
0	17	3255.98	0
0	18	-1	-1
0	19	3197	0
0	20	3104.98	0
0	21	3073.4	0
0	22	2970.52	0
0	23	3027.38	0
0	24	2952.96	0
0	25	3124.7	0
0	26	3010.06	0
0	27	3150.52	0
0	28	2976.49	0
0	29	3110.31	0
0	30	3020.42	0
0	31	3036.32	0
1	0	3053.84	0
1	1	3001.62	0
1	2	3072.49	0
1	3	3021.05	0
1	4	3074.43	0
1	5	2906.5	0
1	6	3369.49	0
1	7	-1	-1
1	8	3109.92	0
1	9	2997.8	0
1	10	3058.6	0
1	11	2975.7	0
1	12	3154.84	0
1	13	2923.41	0
1	14	3060.15	0
1	15	2983.78	0
1	16	3068.23	0
1	17	2976.23	0
1	18	3277.86	0
1	19	3018.87	0
1	20	3149.87	0
1	21	3114.96	0
1	22	3041.94	0
1	23	2923.91	0
1	24	3039.68	0
1	25	2992.94	0
1	26	2994.3	0
1	27	3028.35	0
1	28	3077.04	0
1	29	2988.06	0
1	30	3081.93	0
1	31	2974.55	0
2	0	2997.26	0
2	1	2921.61	0
2	2	2985.65	0
2	3	3053.27	0
2	4	2882.45	0
2	5	3166.52	0
2	6	2974.29	0
2	7	3018.35	0
2	8	3008.87	0
2	9	3092.15	0
2	10	2905.62	0
2	11	3048.44	0
2	12	2915.2	0
2	13	3091.18	0
2	14	3034.99	0
2	15	3045.24	0
2	16	2937.16	0
2	17	3153.51	0
2	18	3008.41	0
2	19	3031.86	0
2	20	3028.58	0
2	21	3117.66	0
2	22	2943.27	0
2	23	3056.14	0
2	24	2887.77	0
2	25	3079.7	0
2	26	3011.35	0
2	27	3043.92	0
2	28	2936.51	0
2	29	3019.37	0
2	30	2968.07	0
2	31	3063.22	0
3	0	2996.97	0
3	1	3000.05	0
3	2	2949.85	0
3	3	3032.42	0
3	4	3180.36	0
3	5	2951.75	0
3	6	3038.96	0
3	7	3037.69	0
3	8	2996.36	0
3	9	-1	-1
3	10	3012.06	0
3	11	2910.75	0
3	12	3057.27	0
3	13	2956.97	0
3	14	3053.71	0
3	15	2999.56	0
3	16	3134.32	0
3	17	2998.3	0
3	18	3012.31	0
3	19	3061.52	0
3	20	3006.25	0
3	21	2989.54	0
3	22	3036.36	0
3	23	2952.25	0
3	24	3035.32	0
3	25	3014.96	0
3	26	3066.51	0
3	27	2987.95	0
3	28	3076.85	0
3	29	2948.54	0
3	30	3058.46	0
3	31	3138.51	0
4	0	3028.28	0
4	1	3078.31	0
4	2	3016.28	0
4	3	2948.72	0
4	4	2974.49	0
4	5	3022.66	0
4	6	2866.57	0
4	7	3164.85	0
4	8	3034.85	0
4	9	3024.87	0
4	10	2903.17	0
4	11	3080.78	0
4	12	2918.46	0
4	13	3031.19	0
4	14	2896.57	0
4	15	3053.65	0
4	16	3080.56	0
4	17	3023.76	0
4	18	2885.36	0
4	19	3169.62	0
4	20	3050.77	0
4	21	3022.87	0
4	22	2969.53	0
4	23	3064.69	0
4	24	2910.02	0
4	25	3015.9	0
4	26	3018.62	0
4	27	3114.92	0
4	28	2985.52	0
4	29	3060.64	0
4	30	2985.94	0
4	31	3000.65	0
5	0	3018.33	0
5	1	3002.24	0
5	2	2948.17	0
5	3	2946.07	0
5	4	3092.99	0
5	5	2914.94	0
5	6	3155.12	0
5	7	-1	-1
5	8	3085.9	0
5	9	2959.25	0
5	10	2995.35	0
5	11	2931.59	0
5	12	2986.73	0
5	13	3063.34	0
5	14	3093.9	0
5	15	2934.19	0
5	16	3133.21	0
5	17	2904.65	0
5	18	3136.53	0
5	19	3054.27	0
5	20	3070.45	0
5	21	3021.53	0
5	22	2979.05	0
5	23	2927.83	0
5	24	3002.57	0
5	25	2985.98	0
5	26	3107.95	0
5	27	2946.95	0
5	28	3002.71	0
5	29	2979.7	0
5	30	3075.91	0
5	31	3025.27	0
6	0	2966.06	0
6	1	2904.54	0
6	2	3069.83	0
6	3	3028.41	0
6	4	2925.57	0
6	5	3110.36	0
6	6	2982.73	0
6	7	3003	0
6	8	3028.81	0
6	9	2979.8	0
6	10	2906.82	0
6	11	2984.56	0
6	12	2930.07	0
6	13	3046.92	0
6	14	3025.73	0
6	15	3083.36	0
6	16	2907.57	0
6	17	3092.21	0
6	18	3076.5	0
6	19	2995.46	0
6	20	3115.72	0
6	21	3075.85	0
6	22	2949.76	0
6	23	2997.74	0
6	24	2912.23	0
6	25	3048.31	0
6	26	3020.84	0
6	27	3091.05	0
6	28	2938.91	0
6	29	3061.79	0
6	30	2937.7	0
6	31	3030.41	0
7	0	2965.94	0
7	1	2968.04	0
7	2	2949.03	0
7	3	2994.98	0
7	4	3065	0
7	5	2964.55	0
7	6	3092.58	0
7	7	2998.64	0
7	8	2941.93	0
7	9	2984.77	0
7	10	2948.61	0
7	11	2928.21	0
7	12	2956.09	0
7	13	2985.97	0
7	14	3097.77	0
7	15	3075.49	0
7	16	3109.36	0
7	17	3084.62	0
7	18	3121.54	0
7	19	3064.71	0
7	20	3001.07	0
7	21	3017.33	0
7	22	2993.68	0
7	23	2960.61	0
7	24	3000.07	0
7	25	2935.56	0
7	26	3046.5	0
7	27	3044.96	0
7	28	3028.29	0
7	29	2951.02	0
7	30	2970.81	0
7	31	3150.09	0
8	0	2989.64	0
8	1	2972.1	0
8	2	3007.96	0
8	3	2903.12	0
8	4	2956.39	0
8	5	3117.8	0
8	6	2975.61	0
8	7	2980.63	0
8	8	2915.22	0
8	9	2909.72	0
8	10	2936	0
8	11	2988.05	0
8	12	2957.12	0
8	13	3066.18	0
8	14	2981.34	0
8	15	3029.88	0
8	16	3066.97	0
8	17	3105.86	0
8	18	2981.47	0
8	19	3077.85	0
8	20	3078.18	0
8	21	2984.26	0
8	22	2965.27	0
8	23	3003.48	0
8	24	2948.62	0
8	25	3114.35	0
8	26	2975.11	0
8	27	2948.48	0
8	28	2981.82	0
8	29	3034.62	0
8	30	2976.97	0
8	31	2991.6	0
9	0	3056.31	0
9	1	2992.42	0
9	2	3005.89	0
9	3	3036.2	0
9	4	3142.06	0
9	5	2964.35	0
9	6	3084.06	0
9	7	3006.57	0
9	8	2940.27	0
9	9	3009.57	0
9	10	3033.58	0
9	11	3055.79	0
9	12	2948.77	0
9	13	3073.5	0
9	14	3091.81	0
9	15	3055.41	0
9	16	3175.1	0
9	17	3071.54	0
9	18	3119.6	0
9	19	3078.55	0
9	20	3049.33	0
9	21	3093.69	0
9	22	2966.02	0
9	23	2967.48	0
9	24	3016.14	0
9	25	3069.23	0
9	26	3094.12	0
9	27	2975.05	0
9	28	2990.75	0
9	29	2976.17	0
9	30	3042.97	0
9	31	3089.53	0
10	0	3010.41	0
10	1	2917.92	0
10	2	3004.45	0
10	3	2992.64	0
10	4	2986.96	0
10	5	2959.34	0
10	6	2994.26	0
10	7	2948.11	0
10	8	2993.99	0
10	9	3083.92	0
10	10	3443.21	0
10	11	-1	-1
10	12	3303.72	0
10	13	3182.9	0
10	14	3209.75	0
10	15	3102.98	0
10	16	3360.54	0
10	17	-1	-1
10	18	3529.58	0
10	19	3167.52	0
10	20	3217.89	0
10	21	3104.35	0
10	22	2987.26	0
10	23	2985.36	0
10	24	2972.66	0
10	25	3027.67	0
10	26	3071.48	0
10	27	3058.78	0
10	28	3013.18	0
10	29	2989.44	0
10	30	2944.94	0
10	31	3019.88	0
11	0	2961.68	0
11	1	3028.27	0
11	2	2943.54	0
11	3	3331.78	0
11	4	714.503	0
11	5	3079.09	0
11	6	3080.51	0
11	7	3058.14	0
11	8	2964.2	0
11	9	3126.47	0
11	10	2981.47	0
11	11	3205.92	0
11	12	3030.18	0
11	13	3037.48	0
11	14	2964.76	0
11	15	3056.83	0
11	16	2993.89	0
11	17	3213.02	0
11	18	3163.98	0
11	19	3168.58	0
11	20	3018.45	0
11	21	3149.82	0
11	22	2985.17	0
11	23	2995.96	0
11	24	2974.77	0
11	25	3041.73	0
11	26	2954.59	0
11	27	3047.72	0
11	28	3026.33	0
11	29	2999.22	0
11	30	2982.52	0
11	31	3104.81	0
12	0	3031.55	0
