#Event n.0
17940 3.94958
18041 1.97479
18268 3.94958
18345 1.97479
18346 3.94958
18348 1.97479
18357 3.94958
19241 3.94958
19306 1.97479
19318 1.97479
19320 1.97479
19322 1.97479
19536 3.94958
19567 3.94958
19596 3.94958
19603 1.97479
19611 1.97479
19619 3.94958
19620 1.97479
19626 1.97479
19629 1.97479
19630 3.94958
19631 1.97479
19632 1.97479
19637 3.94958
19639 3.94958
20497 3.94958
20521 1.97479
20523 1.97479
20545 1.97479
20570 3.94958
20577 1.97479
20587 1.97479
20596 1.97479
20598 3.94958
20599 1.97479
20600 1.97479
20601 1.97479
20604 3.94958
20680 1.97479
20727 1.97479
20753 1.97479
20847 3.94958
20851 1.97479
20853 3.94958
20882 3.94958
20883 3.94958
20884 1.97479
20888 1.97479
20890 1.97479
20892 1.97479
20894 3.94958
20895 1.97479
20896 3.94958
20897 3.94958
20898 3.94958
20899 3.94958
20901 1.97479
20902 3.94958
20912 1.97479
20913 1.97479
20914 3.94958
20915 3.94958
20916 1.97479
21004 3.94958
21098 1.97479
21100 1.97479
21101 1.97479
21213 3.94958
21214 1.97479
21217 1.97479
21218 1.97479
21219 1.97479
21227 1.97479
21313 1.97479
21316 1.97479
21612 3.94958
21613 1.97479
21616 3.94958
21627 1.97479
21630 1.97479
21792 1.97479
21802 1.97479
21804 1.97479
21817 1.97479
21826 1.97479
21831 1.97479
21832 1.97479
21835 3.94958
21836 3.94958
21843 3.94958
21858 1.97479
21867 1.97479
21873 1.97479
21877 1.97479
21878 3.94958
21881 1.97479
21929 1.97479
21931 3.94958
21932 3.94958
21961 1.97479
21966 3.94958
21976 1.97479
21986 3.94958
21988 1.97479
21989 3.94958
21990 3.94958
21998 1.97479
21999 1.97479
22002 3.94958
22003 1.97479
22004 1.97479
22005 1.97479
22032 3.94958
22051 1.97479
22052 3.94958
22062 3.94958
22065 3.94958
22099 1.97479
22131 3.94958
22132 1.97479
22133 3.94958
22142 1.97479
22144 3.94958
22150 1.97479
22166 3.94958
22167 1.97479
22168 3.94958
22169 1.97479
22170 3.94958
22171 1.97479
22176 1.97479
22197 1.97479
22198 3.94958
22372 1.97479
22374 3.94958
22375 1.97479
22379 1.97479
22380 3.94958
22381 1.97479
22382 1.97479
22383 3.94958
22384 3.94958
22385 3.94958
22389 1.97479
22390 1.97479
22395 1.97479
22396 1.97479
22397 1.97479
22495 1.97479
22498 1.97479
22499 1.97479
22500 1.97479
